dag,describe,note
bctc,lấy dữ liệu báo cáo tài chính,"done, cần lưu ý cách ghi đè vào db"
company_overview_to_minio,lấy dữ liệu tổng quan công ty,done
daily_news_collection,lấy tin tức theo ngày,"done, nhưng mà hơi chậm"
company_people_to_minio,lấy dữ liệu cổ đông công ty,done
daily_news_paper,lấy dữ liệu báo theo ngày,done
daily_price_collection,lấy giá theo ngày,done
global_index_etl,"lấy các chỉ số ngoại tệ, lãi suất phi rủi ro và trái phiếu mỹ theo ngày",done
gold_oil_dowjone_etl,lấy giá vàng/dầu/dowjone theo ngày ,done
history_price,lấy các giá trị giá trước 2026,done
standardize_bctc_indicators,,mapping lại tên của báo cáo tài chính  
index_price_2026,lấy chỉ so thị trường hàng ngày,done
"",,
"finanace ratio",lấy chỉ số doanh nghiệp,done
"_",,
"_",,
"_",,
