[2026-01-24T08:34:21.882+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-24T08:34:21.919+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: daily_news_collection.fetch_news_to_csv manual__2026-01-24T08:33:30.466904+00:00 [queued]>
[2026-01-24T08:34:21.936+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: daily_news_collection.fetch_news_to_csv manual__2026-01-24T08:33:30.466904+00:00 [queued]>
[2026-01-24T08:34:21.937+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-24T08:34:21.968+0000] {taskinstance.py:2330} INFO - Executing <Task(DfToCsvOperator): fetch_news_to_csv> on 2026-01-24 08:33:30.466904+00:00
[2026-01-24T08:34:21.984+0000] {warnings.py:112} WARNING - This process (pid=2314) is multi-threaded, use of fork() may lead to deadlocks in the child.

[2026-01-24T08:34:21.989+0000] {standard_task_runner.py:64} INFO - Started process 2429 to run task
[2026-01-24T08:34:21.992+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'daily_news_collection', 'fetch_news_to_csv', 'manual__2026-01-24T08:33:30.466904+00:00', '--job-id', '5780', '--raw', '--subdir', 'DAGS_FOLDER/daily_news_collection.py', '--cfg-path', '/tmp/tmpw8d2ro__']
[2026-01-24T08:34:21.997+0000] {standard_task_runner.py:91} INFO - Job 5780: Subtask fetch_news_to_csv
[2026-01-24T08:34:22.071+0000] {task_command.py:426} INFO - Running <TaskInstance: daily_news_collection.fetch_news_to_csv manual__2026-01-24T08:33:30.466904+00:00 [running]> on host 05b4b3a77fa2
[2026-01-24T08:34:22.275+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='daily_news_collection' AIRFLOW_CTX_TASK_ID='fetch_news_to_csv' AIRFLOW_CTX_EXECUTION_DATE='2026-01-24T08:33:30.466904+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2026-01-24T08:33:30.466904+00:00'
[2026-01-24T08:34:22.278+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-24T08:34:22.295+0000] {logging_mixin.py:188} INFO - Đang sử dụng thư viện: vnstock version 3.x
[2026-01-24T08:34:22.296+0000] {logging_mixin.py:188} INFO - Sẽ lấy tin tức cho ngày: 2026-01-24
[2026-01-24T08:34:22.311+0000] {logging_mixin.py:188} INFO - 
=== QUÉT TIN TỨC NGÀY 2026-01-24 (1 luồng) ===
[2026-01-24T08:34:22.312+0000] {logging_mixin.py:188} INFO - -> Đang quét 1731 mã
[2026-01-24T08:34:22.481+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy YTC: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:34:26.605+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy YEG: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:34:30.710+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy YBM: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:34:35.073+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy YBC: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:34:39.246+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XPH: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:34:43.491+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XMP: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:34:47.581+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XMD: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:34:51.709+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XMC: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:34:55.815+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XLV: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:00.182+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XHC: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:05.150+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XDH: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:09.256+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy XDC: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:13.365+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy X77: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:17.489+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy X26: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:21.629+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy X20: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:25.776+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy WTC: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:29.929+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy WSS: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:34.047+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy WSB: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
[2026-01-24T08:35:38.167+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy WCS: Failed to fetch data: 429 - Too Many Requests | ngủ 4.0s
