[2026-01-14T12:57:23.747+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-14T12:57:23.792+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: daily_news_collection.fetch_news_to_csv scheduled__2026-01-13T00:00:00+00:00 [queued]>
[2026-01-14T12:57:23.821+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: daily_news_collection.fetch_news_to_csv scheduled__2026-01-13T00:00:00+00:00 [queued]>
[2026-01-14T12:57:23.825+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-14T12:57:23.847+0000] {taskinstance.py:2330} INFO - Executing <Task(DfToCsvOperator): fetch_news_to_csv> on 2026-01-13 00:00:00+00:00
[2026-01-14T12:57:23.860+0000] {warnings.py:112} WARNING - This process (pid=87) is multi-threaded, use of fork() may lead to deadlocks in the child.

[2026-01-14T12:57:23.866+0000] {standard_task_runner.py:64} INFO - Started process 187 to run task
[2026-01-14T12:57:23.878+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'daily_news_collection', 'fetch_news_to_csv', 'scheduled__2026-01-13T00:00:00+00:00', '--job-id', '15152', '--raw', '--subdir', 'DAGS_FOLDER/daily_news_collection.py', '--cfg-path', '/tmp/tmp4a53xrid']
[2026-01-14T12:57:23.893+0000] {standard_task_runner.py:91} INFO - Job 15152: Subtask fetch_news_to_csv
[2026-01-14T12:57:24.028+0000] {task_command.py:426} INFO - Running <TaskInstance: daily_news_collection.fetch_news_to_csv scheduled__2026-01-13T00:00:00+00:00 [running]> on host 4b83cd04ee12
[2026-01-14T12:57:24.202+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='daily_news_collection' AIRFLOW_CTX_TASK_ID='fetch_news_to_csv' AIRFLOW_CTX_EXECUTION_DATE='2026-01-13T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-13T00:00:00+00:00'
[2026-01-14T12:57:24.204+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-14T12:57:24.225+0000] {logging_mixin.py:188} INFO - Đang sử dụng thư viện: vnstock version 3.x
[2026-01-14T12:57:24.226+0000] {logging_mixin.py:188} INFO - Sẽ lấy tin tức cho ngày: 2026-01-14
[2026-01-14T12:57:24.238+0000] {logging_mixin.py:188} INFO - 
=== QUÉT TIN TỨC NGÀY 2026-01-13 (1 luồng) ===
[2026-01-14T12:57:24.238+0000] {logging_mixin.py:188} INFO - -> Đang quét 1731 mã
[2026-01-14T12:57:24.276+0000] {log.py:232} WARNING - 2026-01-14 12:57:24 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe951a8d40>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:24.276+0000] {client.py:414} ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe951a8d40>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
[2026-01-14T12:57:24.302+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy YTC: API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe951a8d40>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)")) | ngủ 3.0s
[2026-01-14T12:57:27.317+0000] {log.py:232} WARNING - 2026-01-14 12:57:27 - vnstock.core.utils.client - ERROR - API request failed: HTTPSConnectionPool(host='trading.vietcap.com.vn', port=443): Max retries exceeded with url: /data-mt/graphql (Caused by NameResolutionError("<urllib3.connection.HTTPSConnection object at 0x7fbe94fed100>: Failed to resolve 'trading.vietcap.com.vn' ([Errno -2] Name or service not known)"))
