[2026-01-17T08:36:45.245+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-01-17T08:36:45.270+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: daily_news_collection.fetch_news_to_csv scheduled__2026-01-16T00:00:00+00:00 [queued]>
[2026-01-17T08:36:45.281+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: daily_news_collection.fetch_news_to_csv scheduled__2026-01-16T00:00:00+00:00 [queued]>
[2026-01-17T08:36:45.282+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-01-17T08:36:45.303+0000] {taskinstance.py:2330} INFO - Executing <Task(DfToCsvOperator): fetch_news_to_csv> on 2026-01-16 00:00:00+00:00
[2026-01-17T08:36:45.312+0000] {warnings.py:112} WARNING - This process (pid=142) is multi-threaded, use of fork() may lead to deadlocks in the child.

[2026-01-17T08:36:45.315+0000] {standard_task_runner.py:64} INFO - Started process 179 to run task
[2026-01-17T08:36:45.318+0000] {standard_task_runner.py:90} INFO - Running: ['***', 'tasks', 'run', 'daily_news_collection', 'fetch_news_to_csv', 'scheduled__2026-01-16T00:00:00+00:00', '--job-id', '12', '--raw', '--subdir', 'DAGS_FOLDER/daily_news_collection.py', '--cfg-path', '/tmp/tmpyrdpn9ep']
[2026-01-17T08:36:45.327+0000] {standard_task_runner.py:91} INFO - Job 12: Subtask fetch_news_to_csv
[2026-01-17T08:36:45.417+0000] {task_command.py:426} INFO - Running <TaskInstance: daily_news_collection.fetch_news_to_csv scheduled__2026-01-16T00:00:00+00:00 [running]> on host d8c064bd46bc
[2026-01-17T08:36:45.624+0000] {taskinstance.py:2648} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='daily_news_collection' AIRFLOW_CTX_TASK_ID='fetch_news_to_csv' AIRFLOW_CTX_EXECUTION_DATE='2026-01-16T00:00:00+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='scheduled__2026-01-16T00:00:00+00:00'
[2026-01-17T08:36:45.632+0000] {taskinstance.py:430} INFO - ::endgroup::
[2026-01-17T08:36:45.658+0000] {logging_mixin.py:188} INFO - Đang sử dụng thư viện: vnstock version 3.x
[2026-01-17T08:36:45.659+0000] {logging_mixin.py:188} INFO - Sẽ lấy tin tức cho ngày: 2026-01-17
[2026-01-17T08:36:45.668+0000] {logging_mixin.py:188} INFO - 
=== QUÉT TIN TỨC NGÀY 2026-01-16 (1 luồng) ===
[2026-01-17T08:36:45.670+0000] {logging_mixin.py:188} INFO - -> Đang quét 1731 mã
[2026-01-17T08:38:54.277+0000] {logging_mixin.py:188} INFO -   -> Đã xử lý 100/1731 mã (5.8%)
[2026-01-17T08:39:43.390+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VGC: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:39:47.866+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VFR: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:39:51.062+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VFG: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:39:54.252+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VFC: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:39:57.427+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VET: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:00.618+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VES: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:05.031+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VEC: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:08.459+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VEA: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:11.884+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VE9: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:15.300+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VE8: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:18.738+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VE4: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:21.919+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VE3: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:25.543+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VE2: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:28.732+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VE1: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:32.198+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VDT: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:35.626+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VDS: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:39.090+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VDP: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:42.284+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VDN: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:45.712+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VDM: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:49.349+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VDL: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:52.822+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VDG: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:40:57.223+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCX: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:41:01.639+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCT: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:41:05.419+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCS: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:41:08.877+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCR: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:41:12.059+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCP: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:41:17.705+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCI: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:41:21.171+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCG: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:41:24.585+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCF: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
[2026-01-17T08:41:28.270+0000] {logging_mixin.py:188} INFO -   -> Lỗi khi lấy VCE: Failed to fetch data: 429 - Too Many Requests | ngủ 3.0s
