group task,task,status,note
LẤY DỮ LIỆU VỀ GIÁ,lấy dữ liệu giá lịch sử (<2026),done,lưu trong minio
LẤY DỮ LIỆU VỀ GIÁ,lấy dữ liệu market index (<2026),done,lưu trong minio
LẤY DỮ LIỆU VỀ GIÁ,lấy dữ liệu giá theo ngày ,chưa test,"vẫn đang lỗi chưa giống với history_price được"
LẤY DỮ LIỆU VỀ GIÁ,lấy dữ liệu market theo ngày,done,""
LẤY DỮ LIỆU TIN TỨC,lấy dữ liệu về tin tức,done,"lưu trong minio, đang có 2 dạng lưu ý khi làm trong job đồng bộ"
ĐỒNG BỘ DỮ LIỆU ,cần làm 1 dag để có thể tái sử dụng để import dữ liệu từ minio sang db,,có thể áp dụng với tất cả chạy 1 lần cho cả dwh
LẤY DỮ LIỆU VỀ GIÁ,thực hiện đổ dữ liệu từ socket realtime,,đổ thẳng vào db
ĐỒNG BỘ DỮ LIỆU ,Theo batch lưu dữ liệu dạng parquet lại vào minio,,tất cả dữ liệu lưu vào datalake và đạt limit thì convert sang parquet
LẤY DỮ LIỆU BCTC,lấy dữ liệu bctc,cần check lại,"lưu trong minio, đang thêm logic parquet file "
LẤY DỮ LIỆU THỊ TRƯỜNG,"lấy giá vàng, dầu, downjone",done,
LẤY DỮ LIỆU VỀ THÔNG TIN CÔNG TY,lấy các thông tin cơ bản về công ty,done,lưu vào minio
,,,
TÍNH TOÁN CÁC CHỈ SỐ DOANH NGHIỆP HOẶC CRAWL DỮ LIỆU,"P/E, EPS, ....",,
LẤY DỮ LIỆU BCTC,đồng bộ dữ liệu đúng chỉ tiêu,cần check lại,
LẤY DỮ LIỆU THỊ TRƯỜNG,lấy lãi suất (cả kỳ hạn và không kỳ hạn) ,,đã có lãi suất phi rủi ro toàn cầu
LẤY DỮ LIỆU THỊ TRƯỜNG,Lấy ngoại tế qua,done,
