time,open,high,low,close,volume,index_code
7/9/2012,132.1,130.8,126.9,127.3,11913400,HNX30
7/10/2012,127.3,128.4,126.1,126.5,9686400,HNX30
7/11/2012,126.5,129.1,126.1,128.3,10477000,HNX30
7/12/2012,128.3,131.5,128.1,130.9,15423500,HNX30
7/13/2012,130.9,136.2,130.8,134.53,25541300,HNX30
7/16/2012,134.5,131.99,131.44,131.69,15046000,HNX30
7/17/2012,136.15,136.44,136.15,136.23,18112100,HNX30
7/18/2012,134.63,134.63,134.63,134.63,15727600,HNX30
7/19/2012,135.13,140.58,133.97,135.13,28864100,HNX30
7/20/2012,142.64,142.97,138.62,138.68,31220100,HNX30
7/23/2012,138.48,138.76,136.51,137.37,19868600,HNX30
7/24/2012,136.75,136.91,132.08,132.31,23023500,HNX30
7/25/2012,132.29,133.29,130.07,132.08,15900600,HNX30
7/26/2012,132.93,133.62,132.81,133.49,14983200,HNX30
7/27/2012,132.91,135.44,131.07,131.56,18770800,HNX30
7/30/2012,130.77,131.88,130.02,131.39,10580800,HNX30
7/31/2012,130.76,132.19,130.37,130.92,10915700,HNX30
8/1/2012,130.95,131.12,128.15,129.35,14611500,HNX30
8/2/2012,129.66,130.92,129.54,130.07,8566000,HNX30
8/3/2012,129.62,130.99,128.76,130.23,11241700,HNX30
8/6/2012,130.16,135.12,130.16,134.96,20417900,HNX30
8/7/2012,135.02,135.31,132.19,132.34,15373500,HNX30
8/8/2012,132.17,135.6,132.1,135.1,16539400,HNX30
8/9/2012,136.3,138.23,135.76,135.98,19960500,HNX30
8/10/2012,136.76,136.76,133.84,134.84,13505200,HNX30
8/13/2012,134.86,135.12,132.98,133.58,11317900,HNX30
8/14/2012,133.74,135.21,133.33,134.17,11697700,HNX30
8/16/2012,133.97,134.73,133.13,133.39,12554500,HNX30
8/17/2012,133.39,135.31,133.11,134.68,14230400,HNX30
8/20/2012,135.35,136.13,134.6,135.17,15494600,HNX30
8/21/2012,134,134.2,126.65,127,29683500,HNX30
8/23/2012,120.6,120.6,113.67,114.04,20652000,HNX30
8/24/2012,113.09,120.31,108.63,118.28,39504100,HNX30
8/27/2012,115.74,116.1,111.65,111.93,19614900,HNX30
8/28/2012,111.93,112.94,109.2,112.34,18125000,HNX30
9/11/2012,107.55,107.7,105.44,106.69,12704400,HNX30
9/12/2012,106.58,108.4,105.07,106.43,8925600,HNX30
9/14/2012,108.2,111.75,108.2,111.17,19139100,HNX30
9/17/2012,111.31,111.69,109.28,109.5,11259500,HNX30
9/18/2012,109.5,109.5,104.58,104.81,18207700,HNX30
9/19/2012,104.7,105.57,102.39,105.1,17539200,HNX30
9/20/2012,104.8,104.8,101.83,104.02,12820400,HNX30
9/21/2012,103.64,106.9,103.5,106.62,14165400,HNX30
9/24/2012,106.59,106.94,104.23,105.04,9473300,HNX30
9/25/2012,105.07,105.32,103.65,104.91,8093000,HNX30
9/26/2012,104.95,106.24,104.5,105.69,7693400,HNX30
9/27/2012,105.6,105.89,103.35,104.24,10252300,HNX30
9/28/2012,104.24,104.24,102.57,103.31,7807200,HNX30
10/1/2012,103.29,103.6,99.89,99.9,12362600,HNX30
10/2/2012,99.65,101.04,98.91,99.56,10492700,HNX30
10/3/2012,99.54,101.92,98.54,100.71,11789700,HNX30
10/4/2012,100.75,100.77,99.12,100.3,7026400,HNX30
10/5/2012,100.26,100.97,99.73,100.73,11867700,HNX30
10/8/2012,100.79,103.36,100.12,103.36,17464400,HNX30
10/9/2012,103.39,104.55,102.48,103.42,16807800,HNX30
10/10/2012,103.45,104.36,102.39,104.06,14538600,HNX30
10/15/2012,104.25,104.41,101.73,102.31,13148900,HNX30
10/16/2012,102.2,106.81,102.08,106.81,20637600,HNX30
10/17/2012,106.92,108.04,104.79,105.29,15066100,HNX30
